18:39:20.014 [localhost-startStop-1] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/软件/开发等软件/开发工具/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/AutomaticQA_1/WEB-INF/classes/properties/messages.properties for the default configuration
18:39:20.023 [localhost-startStop-1] INFO  c.a.g.utils.MessagesUtils - Properties read {START_NUM=40001, LOGS_PATH=D:\u8F6F件\u5F00发等软件\u5F00发工具eclipseJava Eclipseeclipse-jee-mars-R-win32-x86_64workspaceAutomaticQA_1srcmainwebapplogs\, USER_FORMAT_ERROR=用户名格式不对！, SIGN_IN_SUCCESS=登陆成功！, SIGN_IN_ERROR=登录失败！, POS_LOCATION_JSOUP_FILES=F:\jsoup\info\, FILE_QA_PATH=D://QA.txt, WEB_BAIKE_URL=http://baike.baidu.com/view/, END_NUM=50000, POSITION_API_NOT_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG, BASEURL_NEXT_NODE=/textFC/db.shtml, PASSWORD_LENGTH_ERROR=密码长度不对！, PASSWORD_ERROR=密码错误！, BASEURL=http://www.weather.com.cn, REGISTER_SUCCESS=注册成功！, PASSWORD_FORMAT_ERROR=密码格式不对！, Full_WEATHER_NUM=7, USER_NOT_EXIST=该用户不存在！, REGISTER_ERROR=注册失败！, POSITION_API_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG&ip=117.71.53.46}
18:39:22.583 [http-bio-8080-exec-4] INFO  c.a.g.utils.JumpToJspViewsUtils - 进入登陆界面
18:39:38.578 [http-bio-8080-exec-9] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
18:42:41.780 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
18:42:48.934 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/软件/开发等软件/开发工具/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/AutomaticQA_1/WEB-INF/classes/properties/messages.properties for the default configuration
18:42:48.943 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.a.g.utils.MessagesUtils - Properties read {START_NUM=40001, LOGS_PATH=D:\u8F6F件\u5F00发等软件\u5F00发工具eclipseJava Eclipseeclipse-jee-mars-R-win32-x86_64workspaceAutomaticQA_1srcmainwebapplogs\, USER_FORMAT_ERROR=用户名格式不对！, SIGN_IN_SUCCESS=登陆成功！, SIGN_IN_ERROR=登录失败！, POS_LOCATION_JSOUP_FILES=F:\jsoup\info\, FILE_QA_PATH=D://QA.txt, WEB_BAIKE_URL=http://baike.baidu.com/view/, END_NUM=50000, POSITION_API_NOT_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG, BASEURL_NEXT_NODE=/textFC/db.shtml, PASSWORD_LENGTH_ERROR=密码长度不对！, PASSWORD_ERROR=密码错误！, BASEURL=http://www.weather.com.cn, REGISTER_SUCCESS=注册成功！, PASSWORD_FORMAT_ERROR=密码格式不对！, Full_WEATHER_NUM=7, USER_NOT_EXIST=该用户不存在！, REGISTER_ERROR=注册失败！, POSITION_API_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG&ip=117.71.53.46}
18:43:39.533 [localhost-startStop-1] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/软件/开发等软件/开发工具/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/AutomaticQA_1/WEB-INF/classes/properties/messages.properties for the default configuration
18:43:39.541 [localhost-startStop-1] INFO  c.a.g.utils.MessagesUtils - Properties read {START_NUM=40001, LOGS_PATH=D:\u8F6F件\u5F00发等软件\u5F00发工具eclipseJava Eclipseeclipse-jee-mars-R-win32-x86_64workspaceAutomaticQA_1srcmainwebapplogs\, USER_FORMAT_ERROR=用户名格式不对！, SIGN_IN_SUCCESS=登陆成功！, SIGN_IN_ERROR=登录失败！, POS_LOCATION_JSOUP_FILES=F:\jsoup\info\, FILE_QA_PATH=D://QA.txt, WEB_BAIKE_URL=http://baike.baidu.com/view/, END_NUM=50000, POSITION_API_NOT_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG, BASEURL_NEXT_NODE=/textFC/db.shtml, PASSWORD_LENGTH_ERROR=密码长度不对！, PASSWORD_ERROR=密码错误！, BASEURL=http://www.weather.com.cn, REGISTER_SUCCESS=注册成功！, PASSWORD_FORMAT_ERROR=密码格式不对！, Full_WEATHER_NUM=7, USER_NOT_EXIST=该用户不存在！, REGISTER_ERROR=注册失败！, POSITION_API_IP=http://api.map.baidu.com/location/ip?ak=L8OlGnGfB28Ku6fpwt4KmKe39LV7QphG&ip=117.71.53.46}
18:43:40.590 [http-bio-8080-exec-5] INFO  c.a.g.utils.JumpToJspViewsUtils - 进入登陆界面
18:44:36.447 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/软件/开发等软件/开发工具/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/AutomaticQA_1/WEB-INF/classes/properties/messages.properties for the default configuration
